# energy/meV  VibDOS 
3.52549e+02   1.03396e-02
3.54049e+02   9.71854e-03
3.55549e+02   9.17075e-03
3.57049e+02   8.68812e-03
3.58549e+02   8.26371e-03
3.60049e+02   7.89158e-03
3.61549e+02   7.56667e-03
3.63049e+02   7.28469e-03
3.64549e+02   7.04205e-03
3.66049e+02   6.83574e-03
3.67549e+02   6.66332e-03
3.69049e+02   6.52282e-03
3.70549e+02   6.41270e-03
3.72049e+02   6.33187e-03
3.73549e+02   6.27959e-03
3.75049e+02   6.25552e-03
3.76549e+02   6.25970e-03
3.78049e+02   6.29253e-03
3.79549e+02   6.35480e-03
3.81049e+02   6.44772e-03
3.82549e+02   6.57292e-03
3.84049e+02   6.73253e-03
3.85549e+02   6.92920e-03
3.87049e+02   7.16617e-03
3.88549e+02   7.44732e-03
3.90049e+02   7.77729e-03
3.91549e+02   8.16156e-03
3.93049e+02   8.60648e-03
3.94549e+02   9.11946e-03
3.96049e+02   9.70894e-03
3.97549e+02   1.03844e-02
3.99049e+02   1.11565e-02
4.00549e+02   1.20364e-02
4.02049e+02   1.30356e-02
4.03549e+02   1.41652e-02
4.05049e+02   1.54338e-02
4.06549e+02   1.68458e-02
4.08049e+02   1.83976e-02
4.09549e+02   2.00729e-02
4.11049e+02   2.18378e-02
4.12549e+02   2.36343e-02
4.14049e+02   2.53775e-02
4.15549e+02   2.69565e-02
4.17049e+02   2.82440e-02
4.18549e+02   2.91153e-02
4.20049e+02   2.94742e-02
4.21549e+02   2.92762e-02
4.23049e+02   2.85408e-02
4.24549e+02   2.73462e-02
4.26049e+02   2.58091e-02
4.27549e+02   2.40581e-02
4.29049e+02   2.22121e-02
4.30549e+02   2.03668e-02
4.32049e+02   1.85902e-02
4.33549e+02   1.69250e-02
4.35049e+02   1.53934e-02
4.36549e+02   1.40032e-02
4.38049e+02   1.27526e-02
4.39549e+02   1.16339e-02
4.41049e+02   1.06366e-02
4.42549e+02   9.74909e-03
4.44049e+02   8.95951e-03
4.45549e+02   8.25671e-03
4.47049e+02   7.63043e-03
4.48549e+02   7.07144e-03
4.50049e+02   6.57154e-03
